x,y
1,4.199912966556491
1,7.510634109690519
1,2.1254727775609377
2,8.988857426507678
2,10.243105442830428
2,11.296823212052121
3,7.356364678046749
3,10.505349395852951
3,10.511600786443234
4,12.43458910237107
4,11.892601232622559
4,14.257964084072016
5,19.130049790718445
5,11.738021195835536
5,16.024853899703608
6,13.273977015863345
6,15.955974970509091
6,16.89479618009224
7,20.08599268532228
7,17.171850345480145
7,19.936308840901066
8,21.725902511729974
8,18.390912909930446
8,22.475552642510095
9,26.777009858469093
9,22.80510979118359
9,21.128305292998643
10,24.968099377498923
10,23.346422092533114
10,21.975200697474396
